휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
논공(대구),고속국도,12,광주대구선,상행,35.764989,128.402909,일반휴게소,00:00,23:59,37766,156,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,070-4304-0620,2021-08-09,B500004,한국도로공사
단양팔경(부산),고속국도,55,중앙선,하행,36.995459,128.287616,일반휴게소,00:00,23:59,31481,112,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-423-5401,2021-08-09,B500004,한국도로공사
단양팔경(춘천),고속국도,55,중앙선,상행,36.942903,128.322142,일반휴게소,00:00,23:59,79980,111,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-421-1671,2021-08-09,B500004,한국도로공사
대천(목포),고속국도,15,서해안선,하행,36.372995,126.555684,일반휴게소,00:00,23:59,38519,196,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-931-6901,2021-08-09,B500004,한국도로공사
대천(서울),고속국도,15,서해안선,상행,36.374457,126.558327,일반휴게소,00:00,23:59,49169,234,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-931-6801,2021-08-09,B500004,한국도로공사
덕유산(대전),고속국도,35,대전통영선,상행,35.816481,127.646149,일반휴게소,00:00,23:59,43941,193,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-353-4200,2021-08-09,B500004,한국도로공사
낙동강의성휴게소,고속국도,301,상주영천선,하행,36.343660,128.300492,일반휴게소,00:00,23:59,48351,266,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,의성마늘돈까스,054-475-2975,2019-08-27,1611000,국토해양부
양평휴게소(하행),고속국도,52,광주원주선,하행,37.397226,127.726705,일반휴게소,00:00,23:59,34485,280,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,양평가마솥장터국밥+양평궁중비빔밥,031-8027-2172,2019-08-27,1611000,국토해양부
양평휴게소(상행),고속국도,52,광주원주선,상행,37.399238,127.723546,일반휴게소,00:00,23:59,34768,222,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,양평가마솥장터국밥+양평궁중비빔밥,031-8027-2191,2019-08-27,1611000,국토해양부
경기광주휴게소(하행),고속국도,52,광주원주선,하행,37.379740,127.436260,일반휴게소,00:00,23:59,38897,242,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,소불고기반상+갑오징어와제육불고기쌈밥,031-8027-3940,2019-08-27,1611000,국토해양부
